CSV File,Column Name,Max Length,Data Type,Nullable
COM,EFF_DATE,10,VARCHAR,No
COM,COMM_LOC_ID,6,VARCHAR,Yes
COM,COMM_TYPE,5,VARCHAR,No
COM,NAV_ID,4,VARCHAR,Yes
COM,NAV_TYPE,25,VARCHAR,Yes
COM,CITY,40,VARCHAR,Yes
COM,STATE_CODE,2,VARCHAR,Yes
COM,REGION_CODE,3,VARCHAR,Yes
COM,COUNTRY_CODE,2,VARCHAR,No
COM,COMM_OUTLET_NAME,30,VARCHAR,No
COM,LAT_DEG,"(2,0)",NUMBER,No
COM,LAT_MIN,"(2,0)",NUMBER,No
COM,LAT_SEC,"(6,4)",NUMBER,No
COM,LAT_HEMIS,1,VARCHAR,No
COM,LAT_DECIMAL,"(10,8)",NUMBER,No
COM,LONG_DEG,"(3,0)",NUMBER,No
COM,LONG_MIN,"(2,0)",NUMBER,No
COM,LONG_SEC,"(6,4)",NUMBER,No
COM,LONG_HEMIS,1,VARCHAR,No
COM,LONG_DECIMAL,"(11,8)",NUMBER,No
COM,FACILITY_ID,4,VARCHAR,No
COM,FACILITY_NAME,30,VARCHAR,No
COM,ALT_FSS_ID,4,VARCHAR,Yes
COM,ALT_FSS_NAME,30,VARCHAR,Yes
COM,OPR_HRS,65,VARCHAR,Yes
COM,COMM_STATUS_CODE,1,VARCHAR,Yes
COM,COMM_STATUS_DATE,10,VARCHAR,Yes
COM,REMARK,1500,VARCHAR,Yes
